long_name,short_name,show
None,HpC-None,Yes
In-Ear (Direct Canal Coupling),HpC-IE,Yes
Over/On-Ear (Near-Field Coupling),HpC-OE,Yes
"Free-Field Reference (KU100, Side)",HpC-FF-KU ,Yes
"Free-Field Reference (Average, Side)",HpC-FF-AVG,Yes
Over/On-Ear (Legacy v3.7.0),HpC-OE-37,No
Over/On-Ear (Legacy v4.1.0),HpC-OE-41,No
Reverberant Field Reference (Side),HpC-RF,Yes
